mod_slug,version,zip_filename
abnormals-delight,1.19.2-4.1.2,abnormals-delight-1.19.2-4.1.2.zip
advancedperipherals,1.19.2-0.7.35r,advancedperipherals-1.19.2-0.7.35r.zip
akashictome,1.6-23,akashictome-1.6-23.zip
alloyed,1.19.2-v1.5a,alloyed-1.19.2-v1.5a.zip
architectury,6.6.92-forge,architectury-6.6.92-forge.zip
autoreglib,1.8.2-55,autoreglib-1.8.2-55.zip
autumnity,1.19.2-4.0.1,autumnity-1.19.2-4.0.1.zip
badpackets-forge,0.2.3,badpackets-forge-0.2.3.zip
blockui,1.19.2-1.0.140-beta,blockui-1.19.2-1.0.140-beta.zip
blueprint,1.19.2-6.2.0,blueprint-1.19.2-6.2.0.zip
brewinandchewin,1.19-2.0,brewinandchewin-1.19-2.0.zip
buzzier-bees,1.19.2-5.0.1,buzzier-bees-1.19.2-5.0.1.zip
cc-tweaked,1.19.2-1.101.4,cc-tweaked-1.19.2-1.101.4.zip
cc-vs,1.19.2-forge-0.0.9,cc-vs-1.19.2-forge-0.0.9.zip
chat-heads,0.12.0-forge-1.19.2,chat-heads-0.12.0-forge-1.19.2.zip
chipped-forge,1.19.2-2.1.5,chipped-forge-1.19.2-2.1.5.zip
clockwork,1.19.2-0.1.13-forge-4621aeec07,clockwork-1.19.2-0.1.13-forge-4621aeec07.zip
controlling-forge,1.19.2-10.0+7,controlling-forge-1.19.2-10.0+7.zip
copycats-forge.1.19.2-1.2.5,,copycats-forge.1.19.2-1.2.5.zip
create,1.19.2-0.5.1.f,create-1.19.2-0.5.1.f.zip
createaddition,1.19.2-1.2.3,createaddition-1.19.2-1.2.3.zip
createarmoryv0.6,,createarmoryv0.6.zip
createbigcannons-forge,1.19.2-0.5.4,createbigcannons-forge-1.19.2-0.5.4.zip
createdeco,1.3.3-1.19.2,createdeco-1.3.3-1.19.2.zip
create-central-kitchen,1.19.2-for-create-0.5.1.f-1.3.11.c,create-central-kitchen-1.19.2-for-create-0.5.1.f-1.3.11.c.zip
create-crystal-clear,0.2.1-1.19.2,create-crystal-clear-0.2.1-1.19.2.zip
